epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,3758.92,0.83418,0.65593,1.09088,0.85992,0.75479,0.84247,0.66769,0.88692,0.69481,1.1674,0.0060895,0.0060895,0.0060895
81,3804.19,0.82815,0.65307,1.09317,0.85655,0.77211,0.8449,0.67172,0.88596,0.68133,1.16525,0.00604,0.00604,0.00604
82,3849.34,0.8306,0.65366,1.08943,0.86912,0.75517,0.84523,0.67328,0.88591,0.68112,1.16367,0.0059905,0.0059905,0.0059905
83,3894.96,0.83266,0.65207,1.08357,0.86341,0.76449,0.84355,0.67011,0.88724,0.68648,1.16095,0.005941,0.005941,0.005941
84,3940.23,0.83919,0.64925,1.08662,0.85414,0.77788,0.84587,0.67115,0.87159,0.67739,1.15272,0.0058915,0.0058915,0.0058915
85,3985.46,0.82375,0.63702,1.08166,0.86845,0.75942,0.84661,0.6719,0.87871,0.68231,1.15573,0.005842,0.005842,0.005842
86,4030.46,0.82395,0.6398,1.08012,0.87888,0.75182,0.84152,0.67176,0.87183,0.67531,1.153,0.0057925,0.0057925,0.0057925
87,4076.04,0.81813,0.63287,1.07834,0.8629,0.76135,0.8456,0.67439,0.86618,0.6723,1.14738,0.005743,0.005743,0.005743
88,4121.6,0.82195,0.63566,1.07652,0.88052,0.74878,0.84656,0.676,0.88109,0.67993,1.16333,0.0056935,0.0056935,0.0056935
89,4166.92,0.81721,0.63285,1.07843,0.87233,0.7449,0.84421,0.67653,0.87102,0.67662,1.1521,0.005644,0.005644,0.005644
90,4212.54,0.8025,0.6185,1.06668,0.84776,0.77547,0.84331,0.67551,0.88233,0.67026,1.1617,0.0055945,0.0055945,0.0055945
91,4258.15,0.79898,0.61461,1.06435,0.8641,0.77244,0.84658,0.67729,0.88166,0.66884,1.16633,0.005545,0.005545,0.005545
